id,fiscalYear,domain,flow,department,category,name,amount,measure,sourceStatus,sourceId,notes
sheriff-cost-center,FY2025-26,budget,expense,Sheriff / Public Safety,Public Safety,Sheriff cost center,28551790,budgeted,verified_official,fy25-26-budget,Cost-center total; not the complete countywide public-safety total.
detention-cost-center,FY2025-26,budget,expense,Sheriff / Public Safety,Public Safety,Detention,24833466,budgeted,verified_official,fy25-26-budget,Separate detention cost center.
public-works,FY2025-26,budget,expense,Public Works,Transportation,Public Works,11812752,budgeted,verified_official,fy25-26-budget,Special-revenue-fund cost-center figure; not a reconciled countywide function total.
traffic-division,FY2025-26,budget,expense,Public Works,Transportation,Traffic Division,1614877,budgeted,verified_official,fy25-26-budget,Special-revenue-fund cost-center figure.
signs-striping,FY2025-26,budget,expense,Public Works,Transportation,Signs / Street Striping,1272164,budgeted,verified_official,fy25-26-budget,Special-revenue-fund cost-center figure.
commissioner-1,FY2025-26,people,expense,Board of County Commissioners,Payroll,District 1 Commissioner base salary,37000,base salary,verified_official,county-charter,Benefits and other compensation not populated.
commissioner-2,FY2025-26,people,expense,Board of County Commissioners,Payroll,District 2 Commissioner base salary,37000,base salary,verified_official,county-charter,Benefits and other compensation not populated.
commissioner-3,FY2025-26,people,expense,Board of County Commissioners,Payroll,District 3 Commissioner base salary,37000,base salary,verified_official,county-charter,Benefits and other compensation not populated.
commissioner-4,FY2025-26,people,expense,Board of County Commissioners,Payroll,District 4 Commissioner base salary,37000,base salary,verified_official,county-charter,Benefits and other compensation not populated.
commissioner-5,FY2025-26,people,expense,Board of County Commissioners,Payroll,District 5 Commissioner base salary,37000,base salary,verified_official,county-charter,Benefits and other compensation not populated.
stormwater-revenue,FY2026-27,revenue,revenue,Stormwater,Special Assessments,Stormwater assessment revenue,8218308,estimated,official_estimate,stormwater-impact,County estimate for a proposed assessment; not actual collected revenue.
stormwater-costs,FY2026-27,budget,expense,Stormwater,Regulatory / Collection,First-year regulatory and collection costs,624371,estimated,official_estimate,stormwater-impact,Official estimate including collection costs and statutory discounts.
property-tax,FY2025-26,revenue,revenue,General Fund,Property Taxes,Ad valorem taxes,55153512,budgeted,verified_official,fy25-26-budget,General Fund only; not a countywide all-funds revenue total.
vendors-total,FY2025-26,vendors,expense,Countywide,Vendors & Contracts,Vendor payments,,actual,pending,public-records,No verified vendor-level payment file loaded.
capital-total,FY2025-26,capital,expense,Countywide Fund Summary,Capital Projects,Total Capital Improvement Funds,226509088,budgeted,verified_official,fy25-26-budget,Appropriation by fund; includes balances and financing uses. Do not add to component fund or cost-center rows.
debt-total,FY2025-26,debt,expense,Countywide Fund Summary,Debt & Reserves,Total Debt Service Funds,14113750,budgeted,verified_official,fy25-26-budget,"Appropriation by fund, not actual debt payments."
all-funds-total,FY2025-26,budget,expense,Countywide Fund Summary,All Funds,Total All Funds,779833243,budgeted,verified_official,fy25-26-budget,Total appropriated budget across all funds; not actual spending.
general-fund-total,FY2025-26,budget,expense,Countywide Fund Summary,Fund Totals,General Fund,168770733,budgeted,verified_official,fy25-26-budget,Total General Fund appropriation; do not add to General Fund category rows.
special-revenue-total,FY2025-26,budget,expense,Countywide Fund Summary,Fund Totals,Total Special Revenue Funds,290932348,budgeted,verified_official,fy25-26-budget,Fund-group total; do not add to individual fund or cost-center rows.
enterprise-total,FY2025-26,budget,expense,Countywide Fund Summary,Fund Totals,Total Enterprise Funds,79507324,budgeted,verified_official,fy25-26-budget,Solid Waste and Universal Collection fund appropriations.
sheriff-countywide-fund,FY2025-26,budget,expense,Countywide Fund Summary,Fund Totals,Sheriff – Countywide Fund,63568575,budgeted,verified_official,fy25-26-budget,Fund appropriation; contains lower-level activity and must not be added to sheriff cost-center rows.
general-revenue-taxes,FY2025-26,revenue,revenue,General Fund,Taxes,Taxes other than ad valorem,10445819,budgeted,verified_official,fy25-26-budget,General Fund revenue category.
general-revenue-permits,FY2025-26,revenue,revenue,General Fund,Permits & Assessments,"Permits, fees and special assessments",7550,budgeted,verified_official,fy25-26-budget,General Fund revenue category.
general-revenue-intergovernmental,FY2025-26,revenue,revenue,General Fund,Intergovernmental,Intergovernmental revenues,33233745,budgeted,verified_official,fy25-26-budget,General Fund revenue category.
general-revenue-services,FY2025-26,revenue,revenue,General Fund,Charges for Services,Charges for services,12963284,budgeted,verified_official,fy25-26-budget,General Fund revenue category.
general-revenue-fines,FY2025-26,revenue,revenue,General Fund,Fines & Forfeits,"Judgments, fines and forfeits",47206,budgeted,verified_official,fy25-26-budget,General Fund; not court related.
general-revenue-misc,FY2025-26,revenue,revenue,General Fund,Miscellaneous Revenue,Miscellaneous revenues,6747471,budgeted,verified_official,fy25-26-budget,General Fund revenue category.
general-revenue-total,FY2025-26,revenue,revenue,General Fund Summary,Revenue Summary,Total estimated revenues,118598587,budgeted,verified_official,fy25-26-budget,Subtotal; do not add to component revenue rows.
general-transfer-in,FY2025-26,revenue,revenue,General Fund,Transfers,Non-operating interfund transfers in,300000,budgeted,verified_official,fy25-26-budget,Other financing source.
general-constitutional-transfer,FY2025-26,revenue,revenue,General Fund,Transfers,Transfers from constitutional fee officers,1875000,budgeted,verified_official,fy25-26-budget,Other financing source.
general-expense-personnel,FY2025-26,budget,expense,General Fund,Personnel,Personnel services,80672952,budgeted,verified_official,fy25-26-budget,General Fund expenditure category; not actual payroll paid.
general-expense-operating,FY2025-26,budget,expense,General Fund,Operating Expenses,Operating expenditures,40100558,budgeted,verified_official,fy25-26-budget,General Fund expenditure category.
general-expense-capital,FY2025-26,budget,expense,General Fund,Capital Outlay,Capital outlay,11382419,budgeted,verified_official,fy25-26-budget,General Fund expenditure category.
general-expense-grants,FY2025-26,budget,expense,General Fund,Grants & Aid,Grants and aid,1677414,budgeted,verified_official,fy25-26-budget,General Fund expenditure category.
general-expense-total,FY2025-26,budget,expense,General Fund Summary,Expenditure Summary,Total expenditures,133833343,budgeted,verified_official,fy25-26-budget,Subtotal before other financing uses; do not add to component rows.
general-transfers-out,FY2025-26,budget,expense,General Fund,Transfers,Interfund transfers out,12587222,budgeted,verified_official,fy25-26-budget,Other financing use.
general-reserve-contingency,FY2025-26,reserves,expense,General Fund,Debt & Reserves,Reserve – contingency,13383334,budgeted,verified_official,fy25-26-budget,"Ending balance appropriation, not spending."
general-reserve-cash,FY2025-26,reserves,expense,General Fund,Debt & Reserves,Reserve – cash balance,8966834,budgeted,verified_official,fy25-26-budget,"Ending balance appropriation, not spending."
ccso-le-total-26,FY2025-26,budget,expense,CCSO – Law Enforcement,Sheriff Detail,Law Enforcement – total expenditures,76239761,budgeted,verified_official,ccso-approved-budget,CCSO presentation total; do not add to its component rows or county fund/cost-center totals.
ccso-le-personnel-26,FY2025-26,budget,expense,CCSO – Law Enforcement,Personnel,Law Enforcement personnel,64716879,budgeted,verified_official,ccso-approved-budget,"Subtotal including salaries, overtime, FICA, retirement, benefits, and workers compensation."
ccso-le-salaries-26,FY2025-26,people,expense,CCSO – Law Enforcement,Payroll,Law Enforcement salaries,40866284,budgeted,verified_official,ccso-approved-budget,Aggregate salary budget; not individual salary or actual payroll.
ccso-le-overtime-26,FY2025-26,people,expense,CCSO – Law Enforcement,Payroll,Law Enforcement overtime salaries,810000,budgeted,verified_official,ccso-approved-budget,Aggregate overtime budget; not actual overtime paid.
ccso-le-fica-26,FY2025-26,people,expense,CCSO – Law Enforcement,Payroll Burden,Law Enforcement FICA,3099496,budgeted,verified_official,ccso-approved-budget,Budgeted employer payroll cost.
ccso-le-retirement-26,FY2025-26,people,expense,CCSO – Law Enforcement,Payroll Burden,Law Enforcement retirement,10745640,budgeted,verified_official,ccso-approved-budget,Aggregate budgeted retirement cost.
ccso-le-benefits-26,FY2025-26,people,expense,CCSO – Law Enforcement,Benefits,Law Enforcement benefits,8902020,budgeted,verified_official,ccso-approved-budget,Aggregate budgeted benefits.
ccso-le-workers-comp-26,FY2025-26,people,expense,CCSO – Law Enforcement,Benefits,Law Enforcement workers compensation,293439,budgeted,verified_official,ccso-approved-budget,Budgeted workers compensation.
ccso-le-operating-26,FY2025-26,budget,expense,CCSO – Law Enforcement,Operating Expenses,Law Enforcement operating,11472882,budgeted,verified_official,ccso-approved-budget,"Subtotal; includes training, communications, uniforms, insurance, vehicles, fuel, and other operating expenses."
ccso-le-capital-26,FY2025-26,budget,expense,CCSO – Law Enforcement,Capital Outlay,Law Enforcement capital,50000,budgeted,verified_official,ccso-approved-budget,Other equipment.
ccso-detention-personnel-26,FY2025-26,budget,expense,CCSO – Detention,Personnel,Detention personnel,19390493,budgeted,verified_official,ccso-approved-budget,"Subtotal including salaries, overtime, FICA, retirement, benefits, and workers compensation."
ccso-detention-salaries-26,FY2025-26,people,expense,CCSO – Detention,Payroll,Detention salaries,12055439,budgeted,verified_official,ccso-approved-budget,Aggregate salary budget; not individual salary or actual payroll.
ccso-detention-overtime-26,FY2025-26,people,expense,CCSO – Detention,Payroll,Detention overtime salaries,175000,budgeted,verified_official,ccso-approved-budget,Aggregate overtime budget; not actual overtime paid.
ccso-detention-retirement-26,FY2025-26,people,expense,CCSO – Detention,Payroll Burden,Detention retirement,3400687,budgeted,verified_official,ccso-approved-budget,Aggregate budgeted retirement cost.
ccso-detention-benefits-26,FY2025-26,people,expense,CCSO – Detention,Benefits,Detention benefits,2767129,budgeted,verified_official,ccso-approved-budget,Aggregate budgeted benefits.
ccso-detention-operating-26,FY2025-26,budget,expense,CCSO – Detention,Operating Expenses,Detention operating,5377973,budgeted,verified_official,ccso-approved-budget,"Includes $3,287,000 inmate care plus training, communications, uniforms, insurance, vehicles, fuel, and other operating expenses."
ccso-detention-inmate-care-26,FY2025-26,budget,expense,CCSO – Detention,Inmate Care,Inmate care,3287000,budgeted,verified_official,ccso-approved-budget,Component of Detention operating; do not add to the operating subtotal.
ccso-detention-capital-26,FY2025-26,budget,expense,CCSO – Detention,Capital Outlay,Detention capital,65000,budgeted,verified_official,ccso-approved-budget,Other equipment.
ccso-judicial-total-26,FY2025-26,budget,expense,CCSO – Judicial,Sheriff Detail,Judicial – total expenditures,4036675,budgeted,verified_official,ccso-approved-budget,CCSO presentation total for courthouse security; do not add to component rows.
ccso-judicial-personnel-26,FY2025-26,budget,expense,CCSO – Judicial,Personnel,Judicial personnel,3146221,budgeted,verified_official,ccso-approved-budget,Courthouse security personnel subtotal.
ccso-judicial-operating-26,FY2025-26,budget,expense,CCSO – Judicial,Operating Expenses,Judicial operating,890454,budgeted,verified_official,ccso-approved-budget,Courthouse security operating subtotal.
ccso-maintenance-total-26,FY2025-26,budget,expense,CCSO – Building Maintenance,Sheriff Detail,Building maintenance – total expenditures,4249100,budgeted,verified_official,ccso-approved-budget,CCSO presentation total; includes facilities used for law enforcement and detention.
ccso-maintenance-operating-26,FY2025-26,budget,expense,CCSO – Building Maintenance,Operating Expenses,Building maintenance operating,1489908,budgeted,verified_official,ccso-approved-budget,"Includes utilities, rent, repairs, professional services, and supplies."
ccso-maintenance-capital-26,FY2025-26,capital,expense,CCSO – Building Maintenance,Capital Outlay,Building maintenance capital,2759192,budgeted,verified_official,ccso-approved-budget,"Buildings, infrastructure, and capitalized/non-capitalized equipment."
ccso-livestock-26,FY2025-26,budget,expense,CCSO – Administration,Operating Expenses,Livestock legal advertising,100,budgeted,verified_official,ccso-approved-budget,Legal advertising required for livestock-impoundment notices.
ccso-le-total-25,FY2024-25,budget,expense,CCSO – Law Enforcement,Sheriff Detail,Law Enforcement – total expenditures,68763175,budgeted,verified_official,ccso-approved-budget,Prior-year approved comparison from CCSO presentation.
ccso-detention-total-25,FY2024-25,budget,expense,CCSO – Detention,Sheriff Detail,Detention – total expenditures,21209841,budgeted,verified_official,ccso-approved-budget,Prior-year approved comparison from CCSO presentation.
ccso-judicial-total-25,FY2024-25,budget,expense,CCSO – Judicial,Sheriff Detail,Judicial – total expenditures,2831381,budgeted,verified_official,ccso-approved-budget,Prior-year approved comparison from CCSO presentation.
ccso-maintenance-total-25,FY2024-25,budget,expense,CCSO – Building Maintenance,Sheriff Detail,Building maintenance – total expenditures,3310408,budgeted,verified_official,ccso-approved-budget,Prior-year approved comparison from CCSO presentation.
ccso-livestock-25,FY2024-25,budget,expense,CCSO – Administration,Operating Expenses,Livestock legal advertising,250,budgeted,verified_official,ccso-approved-budget,Prior-year approved comparison from CCSO presentation.
ccso-base-salary-derived-26,FY2025-26,calculation,expense,CCSO – Consolidated View,Payroll,CCSO aggregate base-salary budget,54931625,derived calculation,derived_estimate,ccso-approved-budget,"Formula: Law Enforcement salaries $40,866,284 + Detention salaries $12,055,439 + Judicial salaries $2,009,902. Aggregate budget, not individual pay or actual payroll."
ccso-overtime-derived-26,FY2025-26,calculation,expense,CCSO – Consolidated View,Payroll,CCSO aggregate overtime budget,1000000,derived calculation,derived_estimate,ccso-approved-budget,"Formula: Law Enforcement overtime $810,000 + Detention overtime $175,000 + Judicial overtime $15,000. Budgeted, not actual overtime paid."
ccso-personnel-derived-26,FY2025-26,calculation,expense,CCSO – Consolidated View,Personnel,CCSO consolidated personnel budget,87253593,derived calculation,derived_estimate,ccso-approved-budget,"Formula: Law Enforcement personnel $64,716,879 + Detention personnel $19,390,493 + Judicial personnel $3,146,221."
ccso-operating-derived-26,FY2025-26,calculation,expense,CCSO – Consolidated View,Operating Expenses,CCSO consolidated operating budget,19231317,derived calculation,derived_estimate,ccso-approved-budget,"Formula: Law Enforcement $11,472,882 + Detention $5,377,973 + Judicial $890,454 + Building Maintenance $1,489,908 + Livestock advertising $100."
ccso-capital-derived-26,FY2025-26,calculation,expense,CCSO – Consolidated View,Capital Outlay,CCSO consolidated capital budget,2874192,derived calculation,derived_estimate,ccso-approved-budget,"Formula: Law Enforcement $50,000 + Detention $65,000 + Building Maintenance $2,759,192."
ccso-presentation-derived-26,FY2025-26,calculation,expense,CCSO – Consolidated View,Sheriff Detail,CCSO presentation total – calculated check,109359102,derived calculation,derived_estimate,ccso-approved-budget,"Formula: personnel $87,253,593 + operating $19,231,317 + capital $2,874,192. Reconciles exactly to the sum of published division totals."
ccso-presentation-derived-25,FY2024-25,calculation,expense,CCSO – Consolidated View,Sheriff Detail,CCSO prior-year presentation total – calculated,96115055,derived calculation,derived_estimate,ccso-approved-budget,"Formula: Law Enforcement $68,763,175 + Detention $21,209,841 + Judicial $2,831,381 + Building Maintenance $3,310,408 + Livestock advertising $250."
ccso-change-derived-26,FY2025-26,calculation,expense,CCSO – Consolidated View,Year-over-Year,CCSO presentation increase from FY2024–25,13244047,derived calculation,derived_estimate,ccso-approved-budget,"Formula: $109,359,102 minus $96,115,055 = $13,244,047, approximately 13.78%. This compares approved budgets, not actual spending."
stormwater-remainder-derived,FY2026-27,calculation,revenue,Stormwater,Special Assessments,Stormwater estimated remainder after first-year regulatory/collection costs,7593937,derived calculation,derived_estimate,stormwater-impact,"Formula: estimated revenue $8,218,308 minus estimated regulatory/collection costs $624,371. This is not a verified project allocation or reserve."
allfund-revenue-advalorem-derived,FY2025-26,calculation,revenue,All Funds Revenue Summary,Property Taxes,Ad valorem taxes – all taxing authorities,171973692,derived calculation,derived_estimate,fy25-26-budget,"Formula: Countywide Services $111,114,276 + Conservation Lands $4,006,212 + Unincorporated Services $2,684,976 + Law Enforcement MSTU $43,975,092 + Fire Control MSTU $9,654,156 + Challenger MSTU $538,980."
tax-countywide-services,FY2025-26,revenue,revenue,All Funds Revenue Summary,Property Taxes,Ad valorem – Countywide Services,111114276,budgeted,verified_official,fy25-26-budget,Millage 5.5471; component of the derived all-authorities ad valorem total.
tax-conservation-lands,FY2025-26,revenue,revenue,All Funds Revenue Summary,Property Taxes,Ad valorem – Conservation Lands Program,4006212,budgeted,verified_official,fy25-26-budget,Millage 0.2000.
tax-unincorporated-mstu,FY2025-26,revenue,revenue,All Funds Revenue Summary,Property Taxes,Ad valorem – Unincorporated Services MSTU,2684976,budgeted,verified_official,fy25-26-budget,Millage 0.1477.
tax-law-enforcement-mstu,FY2025-26,revenue,revenue,All Funds Revenue Summary,Property Taxes,Ad valorem – Law Enforcement MSTU,43975092,budgeted,verified_official,fy25-26-budget,Millage 2.4014.
tax-fire-mstu,FY2025-26,revenue,revenue,All Funds Revenue Summary,Property Taxes,Ad valorem – Fire Control MSTU,9654156,budgeted,verified_official,fy25-26-budget,Millage 0.5048.
tax-challenger-mstu,FY2025-26,revenue,revenue,All Funds Revenue Summary,Property Taxes,Ad valorem – Challenger Center Development MSTU,538980,budgeted,verified_official,fy25-26-budget,Millage 3.0000 applied within the authority.
allfund-revenue-other-taxes,FY2025-26,revenue,revenue,All Funds Revenue Summary,Taxes,Other taxes,55609873,budgeted,verified_official,fy25-26-budget,All-funds source category.
allfund-revenue-services,FY2025-26,revenue,revenue,All Funds Revenue Summary,Charges for Services,Charges for services,25899175,budgeted,verified_official,fy25-26-budget,All-funds source category.
allfund-revenue-intergovernmental,FY2025-26,revenue,revenue,All Funds Revenue Summary,Intergovernmental,Intergovernmental revenue,76953847,budgeted,verified_official,fy25-26-budget,All-funds source category.
allfund-revenue-fines,FY2025-26,revenue,revenue,All Funds Revenue Summary,Fines & Forfeits,"Judgments, fines and forfeitures",929003,budgeted,verified_official,fy25-26-budget,All-funds source category.
allfund-revenue-misc,FY2025-26,revenue,revenue,All Funds Revenue Summary,Miscellaneous Revenue,Miscellaneous revenue,53348736,budgeted,verified_official,fy25-26-budget,All-funds source category.
allfund-revenue-permits,FY2025-26,revenue,revenue,All Funds Revenue Summary,Permits & Assessments,"Permits, fees and special assessments",46819649,budgeted,verified_official,fy25-26-budget,All-funds source category.
allfund-revenue-sources-total,FY2025-26,revenue,revenue,All Funds Revenue Summary,Revenue Summary,Total current sources,431533975,budgeted,verified_official,fy25-26-budget,"Subtotal before transfers, non-revenues, balances, and statutory reserve; do not add to component rows."
allfund-revenue-transfers,FY2025-26,revenue,revenue,All Funds Revenue Summary,Transfers,Interfund transfers,47707171,budgeted,verified_official,fy25-26-budget,"All-funds financing source; internal movement, not new external revenue."
allfund-revenue-nonrevenues,FY2025-26,revenue,revenue,All Funds Revenue Summary,Other Financing,Non-revenues,5272721,budgeted,verified_official,fy25-26-budget,All-funds financing category.
allfund-revenue-balances,FY2025-26,reserves,revenue,All Funds Revenue Summary,Debt & Reserves,"Fund balances, reserves and net assets used",316624436,budgeted,verified_official,fy25-26-budget,Existing balances used to fund appropriations; not new-year revenue.
allfund-revenue-statutory-reserve,FY2025-26,reserves,revenue,All Funds Revenue Summary,Debt & Reserves,Statutory revenue reserve reduction,-21305060,budgeted,verified_official,fy25-26-budget,Negative adjustment under Florida Statutes section 129.01.
function-general-government,FY2025-26,functional_summary,expense,All Funds Functional Summary,General Government,General Government,114604270,budgeted,verified_official,fy25-26-budget,All-funds functional expenditure; excludes transfers and ending balances.
function-courts,FY2025-26,functional_summary,expense,All Funds Functional Summary,Courts,Court-related expenditures,7213564,budgeted,verified_official,fy25-26-budget,All-funds functional expenditure.
function-public-safety,FY2025-26,functional_summary,expense,All Funds Functional Summary,Public Safety,Public Safety,228332029,budgeted,verified_official,fy25-26-budget,All-funds functional expenditure; do not add sheriff component or fund rows.
function-physical-environment,FY2025-26,functional_summary,expense,All Funds Functional Summary,Physical Environment,Physical Environment,45904247,budgeted,verified_official,fy25-26-budget,All-funds functional expenditure.
function-transportation,FY2025-26,functional_summary,expense,All Funds Functional Summary,Transportation,Transportation,80348000,budgeted,verified_official,fy25-26-budget,All-funds functional expenditure.
function-economic-environment,FY2025-26,functional_summary,expense,All Funds Functional Summary,Economic Environment,Economic Environment,7348035,budgeted,verified_official,fy25-26-budget,All-funds functional expenditure.
function-human-services,FY2025-26,functional_summary,expense,All Funds Functional Summary,Human Services,Human Services,32422874,budgeted,verified_official,fy25-26-budget,All-funds functional expenditure.
function-culture-recreation,FY2025-26,functional_summary,expense,All Funds Functional Summary,Culture & Recreation,Culture and Recreation,30981667,budgeted,verified_official,fy25-26-budget,All-funds functional expenditure.
function-expenses-total,FY2025-26,functional_summary,expense,All Funds Functional Summary,Expenditure Summary,Total functional expenditures,547154686,budgeted,verified_official,fy25-26-budget,Subtotal; do not add to functional component rows.
function-transfers,FY2025-26,functional_summary,expense,All Funds Functional Summary,Transfers,Interfund transfers,47696561,budgeted,verified_official,fy25-26-budget,"Internal financing use, not spending on an external service."
function-ending-balances,FY2025-26,functional_summary,expense,All Funds Functional Summary,Debt & Reserves,"Fund balances, reserves and net assets",184981996,budgeted,verified_official,fy25-26-budget,Ending balances and reserves; not current expenditure.
