fiscal_year,bid_number,document_type,record_date,record_number,title,normalized_vendor,category,subcategory,evidence_basis,substantive_source_url,procurement_status,award_status,contract_status,amendment_status,po_status,invoice_status,payment_status,approved_amount,contract_ceiling,verified_actual_payments,parent_contract_number,source_url,notes
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-01","2021/2022-129 AM4","FOURTH AMENDMENT TO AGREEMENT FOR STORMWATER POND MOWING - ISLAND OUTDOOR MANAGEMENT, INC.","ISLAND OUTDOOR MANAGEMENT, INC.","Stormwater/Drainage",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2021/2022-129","https://dmcc.clayclerk.com/Documents/Download/16600","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-01","2022/2023-218 AM1","FIRST AMENDMENT TO AGREEMENT FOR TRIM PROCESSING AND EXEMPTION RENEWALS - FSSI EAST, INC. FKA CATHEDRAL","FSSI EAST, INC. FKA CATHEDRAL","Administrative/Consulting",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-218","https://dmcc.clayclerk.com/Documents/Download/16599","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-01","2022/2023-72 RN1","FIRST RENEWAL TO AGREEMENT FOR FRONTLOAD CONTAINER SERVICE FOR MULTIPLE COUNTY FACILITIES - FREEDOM WASTE RENEWAL","FREEDOM WASTE RENEWAL","Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-72","https://dmcc.clayclerk.com/Documents/Download/16607","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-01","2024/2025-0305","CLAY COUNTY HEALTH DEPARTMENT FY25-26 OPERATIONAL FUNDING AGREEMENT",,"Health/Human Services",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16671","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-01","2025/2026-26 (A)","Machine Repurchase Agreement - RINGPOWER","RINGPOWER","Equipment/Fleet",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16672","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-02","2019/2020-37 AM2","SECOND AMENDMENT TO AGREEMENT FOR FINANCIAL ADVISORY SERVICES - PFM FINANCIAL ADVISORS, LLC.","PFM FINANCIAL ADVISORS, LLC.","Administrative/Consulting",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2019/2020-37","https://dmcc.clayclerk.com/Documents/Download/16598","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-02","2022/2023-6 RN1","FIRST RENEWAL TO AGREEMENT FOR DECEASED PERSONS TRANSPORT - NORTH FLORIDA REMOVAL AND CLEANING SERVICE, INC.","NORTH FLORIDA REMOVAL AND CLEANING SERVICE, INC.","Health/Human Services",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16597","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-02","2024/2025-250 AM1","FIRST AMENDMENT TO AGREEMENT FOR GREEN COVE SPRINGS SENIOR CENTER HEAT PUMP SPLIT HVAC SYSTEM UPGRADE - JR HOBBS","JR HOBBS","Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-250","https://dmcc.clayclerk.com/Documents/Download/16603","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-02","2024/2025-66 AM1","FIRST RENEWAL AND AMENDMENT TO INTERLOCAL AGREEMENT BETWEEN CLAY COUNTY, FLORIDA AND THE CITY OF GREEN COVE SPRINGS, FLORIDA - USE OF COUNTY'S GRANT STAFF FOR GRANT RESEARCH AND WRITING ASSISTANCE",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2024/2025-66","https://dmcc.clayclerk.com/Documents/Download/16611","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-02","2024/2025-81 RN1 AM1","FIRST RENEWAL AND AMENDMENT TO AGREEMENT FOR POND TREATMENT SPRAYING SERVICES - NORT TERRITORY - LAKE DOCTORS POND SPRAYING","LAKE DOCTORS POND SPRAYING","Stormwater/Drainage",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-81","https://dmcc.clayclerk.com/Documents/Download/16664","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-10-02","2024/2025-82 RN1 AM1","FIRST RENEWAL AND AMENDMENT TO AGREEMENT FOR POND TREATMENT SPRAYING SERVICES – SOUTH TERRITORY - BIO-TECH CONSULTING, LLC","BIO-TECH CONSULTING, LLC","Stormwater/Drainage",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-82","https://dmcc.clayclerk.com/Documents/Download/16596","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-10-02","2025/2026-0002","ADOPT-A-MILE/SPOT PROGRAM LITTER REMOVAL AGREEMENT - BIG SKYE DUMPSTER",,"Community/Nonprofit Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16608","Clerk index metadata verified; document terms and payment chain require document-level review."
