invoice_number,invoice_status,fiscal_year,supplier,supplier_type,supplier_reference,invoice_date,invoice_amount,po_number,source_row
SI-1101908,Approved,FY2025-26,Amazon.Com Services Inc,business,1XQD-9M74-4PDK,2026-09-17,66.7,PO-1013713,4
SI-1101907,In Progress,FY2025-26,Amazon.Com Services Inc,business,1HW1-WMDK-1RP9,2026-09-17,128.47,PO-1013811,5
SI-1101925,In Progress,FY2025-26,AA Propane Gas,business,0301399,2026-09-16,125.76,PO-1013740,6
SI-1101921,In Progress,FY2025-26,Fire Protection Publications,business,315077,2026-09-16,9200,PO-1015786,7
SI-1101915,In Progress,FY2025-26,"American Tree Surgeons, Inc.",business,13348,2026-09-16,775,PO-1016367,8
SI-1101910,Approved,FY2025-26,One Stop Aquatic Safety LLC,business,3515,2026-09-16,13988,PO-1016156,9
SI-1101894,Approved,FY2025-26,Amazon.Com Services Inc,business,1FFH-VFHD-3636,2026-09-16,490.87,PO-1015914,10
SI-1101889,In Progress,FY2025-26,Amazon.Com Services Inc,business,1HFL-TH19-Y44X,2026-09-16,669.39,PO-1013720,11
SI-1101868,In Progress,FY2025-26,"HD Supply Facilities Maintenance, Ltd.",business,9254095988,2026-09-16,-136.64,PO-1016464,12
SI-1101867,In Progress,FY2025-26,"HD Supply Facilities Maintenance, Ltd.",business,0883480647,2026-09-16,1670.38,PO-1016615,13
SI-1101866,Approved,FY2025-26,"HD Supply Facilities Maintenance, Ltd.",business,0883480648,2026-09-16,373.1,PO-1016122,14
SI-1101865,Approved,FY2025-26,"HD Supply Facilities Maintenance, Ltd.",business,0883480646,2026-09-16,29.85,PO-1014452,15
SI-1101864,Approved,FY2025-26,"HD Supply Facilities Maintenance, Ltd.",business,0883480645,2026-09-16,246.96,PO-1014452,16
SI-1101849,In Progress,FY2025-26,Cintas Corporation No 2 (Uniforms),business,4282637047,2026-09-16,48.34,PO-1015215,17
SI-1101848,In Progress,FY2025-26,Cintas Corporation No 2 (Uniforms),business,4282637060,2026-09-16,83.06,PO-1015215,18
SI-1101847,In Progress,FY2025-26,Cintas Corporation No 2 (Uniforms),business,4282637054,2026-09-16,72.45,PO-1015215,19
SI-1101839,In Progress,FY2025-26,Cintas Corporation No 2 (Uniforms),business,4282636981,2026-09-16,18.5,PO-1015216,20
SI-1101832,Approved,FY2025-26,Amazon.Com Services Inc,business,1Y6F-HFQW-VNLK,2026-09-16,59.99,PO-1015914,21
SI-1101831,Approved,FY2025-26,Amazon.Com Services Inc,business,11QP-7P3N-QYWY,2026-09-16,284.09,PO-1015475,22
SI-1101920,In Progress,FY2025-26,Bhide & Hall Architects Pa,business,202446.03,2026-09-15,7545,PO-1014065,23
SI-1101919,In Progress,FY2025-26,Ten-8 Fire & Safety LLC,business,1310117325,2026-09-15,4131.8,PO-1016570,24
SI-1101918,In Progress,FY2025-26,Baker Distributing Co LLC,business,HA04359,2026-09-15,105.64,PO-1014645,25
SI-1101917,In Progress,FY2025-26,"Edwards Ornamental Iron, Inc.",business,12294,2026-09-15,1100,PO-1016635,26
SI-1101916,In Progress,FY2025-26,Baker Distributing Co LLC,business,GZ75304,2026-09-15,8259.68,PO-1016659,27
SI-1101914,In Progress,FY2025-26,Ten-8 Fire & Safety LLC,business,1310117346,2026-09-15,1108,PO-1016417,28
SI-1101903,In Progress,FY2025-26,Motorola Solutions Inc,business,1187182567,2026-09-15,262000.9,PO-1015025,29
SI-1101898,Approved,FY2025-26,Keystone Auto Parts Inc,business,11118-446910,2026-09-15,6.83,PO-1013836,30
SI-1101892,Approved,FY2025-26,Hagan Ace Hardware Green Cove Springs,business,93096/2,2026-09-15,8.99,PO-1013814,31
SI-1101890,In Progress,FY2025-26,Hagan Ace Hardware Green Cove Springs,business,93094/2,2026-09-15,56.32,PO-1013725,32
SI-1101886,Approved,FY2025-26,"American Tree Surgeons, Inc.",business,13347,2026-09-15,1375,PO-1016367,33
SI-1101885,Approved,FY2025-26,"American Tree Surgeons, Inc.",business,13346,2026-09-15,1560,PO-1016545,34
SI-1101880,Approved,FY2025-26,Green Cove Springs Auto Parts Inc,business,1742-157871,2026-09-15,189.99,PO-1016668,35
SI-1101879,Approved,FY2025-26,Green Cove Springs Auto Parts Inc,business,1742-157866,2026-09-15,286.96,PO-1016668,36
SI-1101878,Approved,FY2025-26,Green Cove Springs Auto Parts Inc,business,1742-157873,2026-09-15,174.24,PO-1016668,37
SI-1101872,Approved,FY2025-26,Green Cove Springs Auto Parts Inc,business,1742-157867,2026-09-15,143.48,PO-1016386,38
SI-1101871,Approved,FY2025-26,Green Cove Springs Auto Parts Inc,business,1742-157868,2026-09-15,237.49,PO-1016386,39
SI-1101869,Approved,FY2025-26,Green Cove Springs Auto Parts Inc,business,1742-157870,2026-09-15,148.93,PO-1016386,40
SI-1101850,Approved,FY2025-26,Federal Express Corp,business,9-462-17446,2026-09-15,64.13,PO-1013850,41
SI-1101845,Approved,FY2025-26,Isolved Benefit Services,business,I156463551,2026-09-15,2496.12,,42
SI-1101825,Approved,FY2025-26,Amazon.Com Services Inc,business,1WCT-9JHP-KYXM,2026-09-15,835.41,PO-1013959,43
SI-1101824,Approved,FY2025-26,Amazon.Com Services Inc,business,1Y3P-NLN4-JWPX,2026-09-15,726.24,PO-1016204,44
SI-1101823,In Progress,FY2025-26,Amazon.Com Services Inc,business,16T7-P9J9-FC1J,2026-09-15,157.01,PO-1015925,45
SI-1101809,In Progress,FY2025-26,Clay County Utility Authority,government_entity,A00002873 Aug26,2026-09-15,14.83,,46
SI-1101787,Approved,FY2025-26,"HD Supply Facilities Maintenance, Ltd.",business,0883472734,2026-09-15,314.11,PO-1015117,47
SI-1101785,In Progress,FY2025-26,"HD Supply Facilities Maintenance, Ltd.",business,0883472735,2026-09-15,116.42,PO-1016304,48
SI-1101784,Approved,FY2025-26,"HD Supply Facilities Maintenance, Ltd.",business,0883472736,2026-09-15,13.96,PO-1014882,49
SI-1101755,In Progress,FY2025-26,Transportation Control Systems,business,32667,2026-09-15,116647,PO-1016046,50
SI-1101741,In Progress,FY2025-26,City of Green Cove Springs,government_entity,06-70217 Aug26,2026-09-15,63.8,,51
SI-1101740,In Progress,FY2025-26,City of Green Cove Springs,government_entity,06-70600 Aug26,2026-09-15,762.97,,52
